id,hospital_id,blood_type,resource_type,requested_quantity,urgency_level,status,created_at
b745fec5-a4e0-4cf8-9e0f-dc585ba922ef,1afaf789-590e-4da0-a1e0-60ae88957bc4,A+,PLASMA,4.0,MEDIUM,OPEN,2025-01-20T17:24:00
68dba2e0-7288-48c3-a998-2c347c08df74,09e6e22d-50b4-47e8-ae85-b088de1a2e57,O+,BLOOD,4.0,HIGH,OPEN,2025-02-02T10:16:00
6348bf39-02a2-472f-b394-e8755c78e7d4,e60e50ad-d23a-4235-b916-c79c3d0e59bc,A+,PLATELETS,1.0,HIGH,OPEN,2025-03-16T10:00:00
165f7423-7e4a-45b7-8314-658aa236ccb5,6947476e-61de-4863-8a9d-72727255ee41,A+,BLOOD,4.0,CRITICAL,OPEN,2025-04-02T21:43:00
8dcc8776-b90e-45b3-aa6d-efaf5d350606,f9411b9c-4476-456b-adc1-a66f3ef4b94c,O+,BLOOD,6.0,HIGH,OPEN,2025-04-25T10:12:00
44953ec7-156d-449f-97c3-f7bd9109c4c4,b7c13b62-849c-4db7-9f78-a57688b942d8,A+,BLOOD,2.0,MEDIUM,OPEN,2025-03-15T14:04:00
a2080132-bbc3-40a5-b5b6-a0488f39a233,8db1c00f-9545-4d3c-aea4-264c461c8fc6,B+,BLOOD,6.0,CRITICAL,OPEN,2025-02-26T08:39:00
06a95900-215b-4076-8aea-6c99413a1135,5bf3693a-0593-4a46-bf30-57433f44741a,A+,BLOOD,2.0,HIGH,OPEN,2025-04-24T05:54:00
643d9446-6aa8-42ed-8b82-df1884fdcebc,58cce37b-be24-4086-99ec-67c1bb287c26,O+,PLATELETS,1.0,HIGH,OPEN,2025-02-21T06:32:00
de7f1bd4-e8ef-477a-ac10-5b19d76c2016,539f4629-b035-4971-83d5-1f7cb1b61ef4,O+,BLOOD,2.0,CRITICAL,OPEN,2025-04-24T19:26:00
283a4b03-a7cf-4677-8a4f-c1ffcc3ff002,edab3f4c-9641-40ac-a32a-d982904262e6,A+,PLASMA,2.0,MEDIUM,OPEN,2025-03-10T16:44:00
56462c8a-e513-46d0-9ebf-1afc9da4ad78,6ea2cdda-54ab-4549-9451-20027e0062f4,O+,BLOOD,2.0,MEDIUM,OPEN,2025-04-05T14:08:00
661e79c6-dcf8-4b24-a661-d579aa9de715,ae377c8a-f8b3-42a1-a247-25f4531e27f9,O+,BLOOD,2.0,CRITICAL,OPEN,2025-03-13T18:42:00
d4dbe096-c246-4e4e-9e4e-e5296fe0d66d,53969120-0129-4c29-8914-5380104e2242,B+,PLATELETS,3.0,MEDIUM,OPEN,2025-04-26T14:47:00
82d3804f-6a50-4978-9d80-90b39af9c40f,0a1bc60d-4880-4dca-bed7-73432d69409e,O+,BLOOD,2.0,HIGH,OPEN,2025-04-16T01:36:00
